period,reporter_iso_limpio,partner_iso_limpio,M,X,peso_comercio_total,balanza_comercial,ln_peso_comercio_total
2004,ARE,GUY,0.0,73366.0,73366.0,73366.0,11.20322952222549
2004,ARE,HKG,8721030.0,34341007.0,43062037.0,25619977.0,17.578152378088436
2004,ARE,HND,72929.0,2451.0,75380.0,-70478.0,11.230310532851465
2004,ARE,HRV,91547.0,106073.0,197620.0,14526.0,12.194106333952728
2004,ARE,HTI,0.0,87591.0,87591.0,87591.0,11.380444948553261
2004,ARE,HUN,15676371.0,128284.0,15804655.0,-15548087.0,16.57581513813083
2004,ARE,IDN,83493636.0,5291512.0,88785148.0,-78202124.0,18.301729952985074
2004,ARE,IND,361705946.0,48100668.0,409806614.0,-313605278.0,19.83119593565929
2004,ARE,IRL,68926083.0,331472.0,69257555.0,-68594611.0,18.053342808992806
2004,ARE,IRN,94086768.0,733743015.0,827829783.0,639656247.0,20.534318116336895
2004,ARE,IRQ,4276616.0,494841778.0,499118394.0,490565162.0,20.028353890102075
2004,ARE,ISL,34950.0,0.0,34950.0,-34950.0,10.461702359555922
2004,ARE,ITA,349263953.0,6191047.0,355455000.0,-343072906.0,19.68890921973017
2004,ARE,JAM,295.0,129339.0,129634.0,129044.0,11.772478088168603
2004,ARE,JOR,18108017.0,28115699.0,46223716.0,10007682.0,17.649003579308733
2004,ARE,JPN,2775872963.0,13805695813.0,16581568776.0,11029822850.0,23.531557600814413
2004,ARE,KAZ,2925253.0,73886013.0,76811266.0,70960760.0,18.156861893086834
2004,ARE,KEN,1094520.0,81298659.0,82393179.0,80204139.0,18.22701322446403
2004,ARE,KGZ,0.0,4573008.0,4573008.0,4573008.0,15.33568197071173
2004,ARE,KHM,0.0,365834.0,365834.0,365834.0,12.809937691061632
2004,ARE,KOR,488415864.0,5583645.0,493999509.0,-482832219.0,20.01804508324887
2004,ARE,KWT,27290476.0,132065893.0,159356369.0,104775417.0,18.88665357292667
2004,ARE,LAO,0.0,15030.0,15030.0,15030.0,9.617870014133226
2004,ARE,LBN,5388846.0,14770600.0,20159446.0,9381754.0,16.819183570235662
2004,ARE,LBR,0.0,3430536.0,3430536.0,3430536.0,15.048227366654686
2004,ARE,LBY,17799.0,106710245.0,106728044.0,106692446.0,18.485794521473252
2004,ARE,LKA,2126840.0,10270176.0,12397016.0,8143336.0,16.332966437118852
2004,ARE,LTU,33922.0,970606.0,1004528.0,936684.0,13.820029332905012
2004,ARE,LUX,4460946.0,166793.0,4627739.0,-4294153.0,15.34757918594228
2004,ARE,LVA,3527.0,398887.0,402414.0,395360.0,12.90523917341487
2004,ARE,MAC,0.0,4901.0,4901.0,4901.0,8.497398564088058
2004,ARE,MAR,1050310.0,8748855.0,9799165.0,7698545.0,16.0978078379786
2004,ARE,MDA,27.0,180302.0,180329.0,180275.0,12.102543784701318
2004,ARE,MDG,0.0,5906939.0,5906939.0,5906939.0,15.59163848879746
2004,ARE,MDV,0.0,5000486.0,5000486.0,5000486.0,15.425045865655303
2004,ARE,MEX,13678267.0,58248.0,13736515.0,-13620019.0,16.43556824637514
2004,ARE,MKD,103.0,637925.0,638028.0,637822.0,13.366139015839355
2004,ARE,MLI,0.0,1623580.0,1623580.0,1623580.0,14.300144761488655
2004,ARE,MLT,4627865.0,1761542.0,6389407.0,-2866323.0,15.670152177304493
