"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"1.8548387096774193","3.052790996560306E-4","0.5391304347826087","0.7333333333333333","10","3","false","""Sweden""","43.1","0","10","0","0.9857526881720431","false","0","""Sweden""","28","0.7065573770491803"
"1.935483870967742","0.0","0.5166666666666666","1.0","5","3","false","""Malta""","51.8","0","5","0","0.9844086021505376","false","0","""Malta""","0","0.8491803278688524"
"1.8870967741935485","2.2102547509242915E-4","0.5299145299145299","0.7142857142857143","8","3","false","""Australia""","44.0","0","8","0","0.9852150537634408","false","0","""Australia""","20","0.7213114754098361"
"1.8548387096774193","4.1624162865543953E-4","0.5391304347826087","0.7333333333333333","10","3","false","""Czechia""","42.4","0","10","0","0.9857526881720431","false","0","""Czechia""","28","0.6950819672131148"
"1.9516129032258065","3.8694199739459055E-5","0.512396694214876","0.8333333333333334","4","3","false","""Bahrain""","48.25","0","4","0","0.9841397849462366","false","0","""Bahrain""","6","0.7909836065573771"
"1.9516129032258065","0.0","0.512396694214876","1.0","4","3","false","""Latvia""","53.25","0","4","0","0.9841397849462366","false","0","""Latvia""","0","0.8729508196721312"
"1.8548387096774193","4.5545035708048187E-4","0.5391304347826087","0.6444444444444445","10","3","false","""Russia""","40.5","0","10","0","0.9857526881720431","false","0","""Russia""","36","0.6639344262295082"
"1.903225806451613","5.338366445536481E-5","0.5254237288135593","0.9047619047619048","7","3","false","""New Zealand""","47.42857142857143","0","7","0","0.9849462365591397","false","0","""New Zealand""","8","0.7775175644028103"
"1.9193548387096775","3.8694199739459055E-5","0.5210084033613445","0.9333333333333333","6","3","false","""Ireland""","50.0","0","6","0","0.9846774193548387","false","0","""Ireland""","6","0.819672131147541"
"2.0161290322580645","0.0","0.496","0.0","1","3","false","""Panama""","60.0","0","1","0","0.9830645161290322","false","0","""Panama""","0","0.0"
"1.8225806451612903","9.702055165147715E-4","0.5486725663716814","0.5757575757575758","12","3","false","""Italy""","38.583333333333336","0","12","0","0.9862903225806452","false","0","""Italy""","60","0.6325136612021858"
"2.693548387096774","3.2316822374992655E-4","0.37125748502994016","0.0","3","3","false","""Paraguay""","9.0","0","3","0","0.9717741935483871","false","0","""Paraguay""","6","0.6153846153846154"
"1.1451612903225807","0.10828478913842589","0.8732394366197183","0.23294629898403482","53","2","false","""India""","14.245283018867925","0","53","0","0.9975806451612903","false","0","""India""","2364","0.22976262933657943"
"1.8064516129032258","0.0017829526142962428","0.5535714285714286","0.5128205128205128","13","3","false","""Canada""","36.23076923076923","0","13","0","0.9865591397849462","false","0","""Canada""","80","0.5939470365699874"
"1.8709677419354838","2.5908454276545766E-4","0.5344827586206897","0.75","9","3","false","""Romania""","44.0","0","9","0","0.985483870967742","false","0","""Romania""","22","0.7213114754098361"
"1.8548387096774193","3.052790996560306E-4","0.5391304347826087","0.7333333333333333","10","3","false","""Denmark""","43.1","0","10","0","0.9857526881720431","false","0","""Denmark""","28","0.7065573770491803"
"1.9516129032258065","0.0","0.512396694214876","1.0","4","3","false","""Iceland""","53.25","0","4","0","0.9841397849462366","false","0","""Iceland""","0","0.8729508196721312"
"1.8709677419354838","1.0653018726763644E-4","0.5344827586206897","0.8611111111111112","9","3","false","""Turkey""","45.666666666666664","0","9","0","0.985483870967742","false","0","""Turkey""","14","0.7486338797814208"
