period,reporter_iso_limpio,partner_iso_limpio,M,X,peso_comercio_total,balanza_comercial
2014,ABW,BRA,1529010.0,0.0,1529010.0,-1529010.0
2014,ABW,CHE,261464.0,0.0,261464.0,-261464.0
2014,ABW,CHN,5699849.0,0.0,5699849.0,-5699849.0
2014,ABW,COL,851884.0,441832.0,1293716.0,-410052.0
2014,ABW,CUW,3524704.0,1171690.0,4696394.0,-2353014.0
2014,ABW,DOM,422050.0,636.0,422686.0,-421414.0
2014,ABW,ESP,1159188.0,0.0,1159188.0,-1159188.0
2014,ABW,FRA,936203.0,0.0,936203.0,-936203.0
2014,ABW,GBR,1136688.0,1175.0,1137863.0,-1135513.0
2014,ABW,JPN,9110314.0,0.0,9110314.0,-9110314.0
2014,ABW,KOR,18663123.0,0.0,18663123.0,-18663123.0
2014,ABW,MEX,6638196.0,0.0,6638196.0,-6638196.0
2014,ABW,NLD,26953569.0,1120368.0,28073937.0,-25833201.0
2014,ABW,PAN,6956290.0,4551.0,6960841.0,-6951739.0
2014,ABW,TTO,6010389.0,26643.0,6037032.0,-5983746.0
2014,ABW,URY,80378.0,0.0,80378.0,-80378.0
2014,ABW,USA,184057849.0,2577461.0,186635310.0,-181480388.0
2014,ABW,VEN,188704.0,1050072.0,1238776.0,861368.0
2014,ARE,ABW,0.0,159429.771,159429.771,159429.771
2014,ARE,ARG,110528263.015,984409.912,111512672.927,-109543853.103
2014,ARE,AUS,381634413.446,20904084.309,402538497.755,-360730329.13699996
2014,ARE,BEL,619551916.8050001,96949677.035,716501593.84,-522602239.7700001
2014,ARE,BHS,211653.116,4086.063,215739.179,-207567.053
2014,ARE,BOL,18955.537,2143853.849,2162809.386,2124898.312
2014,ARE,BRA,438236231.932,17629101.772,455865333.704,-420607130.15999997
2014,ARE,BRN,1976.582,220027.05699999997,222003.63899999997,218050.47499999998
2014,ARE,CAN,776619812.995,8370314.514,784990127.5090001,-768249498.481
2014,ARE,CHE,3787946151.4360003,2619976269.338,6407922420.774,-1167969882.0980005
2014,ARE,CHL,48687305.872999996,33022553.656,81709859.529,-15664752.216999996
2014,ARE,CHN,8071196140.7300005,1804464339.5049999,9875660480.235,-6266731801.225
2014,ARE,CIV,422997.096,68763553.418,69186550.514,68340556.322
2014,ARE,COL,7237520.185,5342039.7469999995,12579559.932,-1895480.438
2014,ARE,CRI,7071344.4629999995,302241.60000000003,7373586.062999999,-6769102.863
2014,ARE,CUB,7633.593,159779.84,167413.433,152146.247
2014,ARE,CUW,115972943.82699999,1448736.635,117421680.462,-114524207.19199999
2014,ARE,CZE,193293660.229,7715042.917,201008703.146,-185578617.312
2014,ARE,DEU,6738202680.76,128840585.447,6867043266.207,-6609362095.313001
