period,reporter_iso_limpio,partner_iso_limpio,M,X,peso_comercio_total,balanza_comercial
2014,ARE,DNK,116132799.682,3930547.786,120063347.468,-112202251.896
2014,ARE,DOM,1638580.394,6488125.595,8126705.989,4849545.200999999
2014,ARE,ECU,1249723.464,4187240.4729999998,5436963.937,2937517.0089999996
2014,ARE,EGY,336101273.755,871687226.005,1207788499.76,535585952.25
2014,ARE,ESP,356747756.08,83924541.837,440672297.917,-272823214.243
2014,ARE,FIN,86455129.998,83678530.94,170133660.938,-2776599.0579999983
2014,ARE,FRA,819300838.499,23534108.341000002,842834946.8399999,-795766730.158
2014,ARE,GBR,3086330357.09,156938067.936,3243268425.026,-2929392289.1540003
2014,ARE,GTM,70158.773,2384775.125,2454933.898,2314616.352
2014,ARE,HKG,489139650.852,564443945.2329999,1053583596.0849999,75304294.38099992
2014,ARE,HND,227627.606,2384646.0300000003,2612273.6360000004,2157018.424
2014,ARE,HTI,0.0,1705076.7119999998,1705076.7119999998,1705076.7119999998
2014,ARE,IDN,651369959.114,27469454.463,678839413.5769999,-623900504.651
2014,ARE,IND,5860790366.042,3988242770.643,9849033136.685,-1872547595.3989997
2014,ARE,IRL,176080712.769,1035855.865,177116568.634,-175044856.90399998
2014,ARE,IRQ,968600713.7680001,2645489565.216,3614090278.984,1676888851.448
2014,ARE,ITA,1226060584.263,154249813.83699998,1380310398.1,-1071810770.426
2014,ARE,JAM,0.0,222140.525,222140.525,222140.525
2014,ARE,JPN,7589874763.264,12499335.907,7602374099.171,-7577375427.357
2014,ARE,KOR,2787508293.741,19540194.928,2807048488.669,-2767968098.813
2014,ARE,LCA,0.0,30767.139,30767.139,30767.139
2014,ARE,LUX,6821404.113999999,1377897.567,8199301.680999999,-5443506.546999999
2014,ARE,MAR,1600890.141,55170119.97,56771010.111,53569229.828999996
2014,ARE,MEX,772752638.397,2701002.222,775453640.619,-770051636.175
2014,ARE,MYS,414279834.315,106786697.346,521066531.661,-307493136.969
2014,ARE,NIC,3546615.48,482784.038,4029399.518,-3063831.442
2014,ARE,NLD,345683807.473,98453003.534,444136811.00699997,-247230803.939
2014,ARE,NOR,28929752.514,10526902.959999999,39456655.474,-18402849.553999998
2014,ARE,PAN,10373.539,1164756.7710000002,1175130.3100000003,1154383.232
2014,ARE,PER,8897397.597,5081973.896,13979371.492999999,-3815423.7009999994
2014,ARE,POL,136322578.34,6622453.952,142945032.292,-129700124.38800001
2014,ARE,PRT,19775376.117,4111525.716,23886901.832999997,-15663850.400999999
2014,ARE,RUS,1374997540.315,176362507.25100002,1551360047.566,-1198635033.0640001
2014,ARE,SAU,1264411798.24,2777556751.112,4041968549.352,1513144952.872
2014,ARE,SGP,549448039.003,416874963.75,966323002.753,-132573075.25300002
2014,ARE,SLV,1728.492,2694912.907,2696641.399,2693184.415
2014,ARE,SVN,14313990.467,1607652.9930000002,15921643.46,-12706337.474
2014,ARE,SWE,541479854.603,6982510.286,548462364.889,-534497344.31700003
2014,ARE,TTO,24750.073,661929.726,686679.799,637179.653
2014,ARE,TUR,1302461114.721,1855379396.8749998,3157840511.5959997,552918282.1539998
2014,ARE,URY,61830.729999999996,178739.913,240570.64299999998,116909.183
2014,ARE,USA,7885787902.360001,127172818.055,8012960720.415001,-7758615084.305
2014,ARE,VEN,4456.794,6368940.888,6373397.682,6364484.0940000005
2014,ARE,ZAF,835969708.263,84313371.56,920283079.823,-751656336.7030001
2014,ARG,ABW,0.0,293700.68,293700.68,293700.68
2014,ARG,ARE,22979129.96,118075038.55,141054168.51,95095908.59
2014,ARG,ARG,5614318.9399999995,0.0,5614318.9399999995,-5614318.9399999995
2014,ARG,AUS,100473138.16,550321543.06,650794681.2199999,449848404.9
2014,ARG,BEL,215363802.25,70527178.43,285890980.68,-144836623.82
2014,ARG,BHS,0.0,178561072.57,178561072.57,178561072.57
2014,ARG,BOL,2474257684.8199997,314381978.2,2788639663.0199995,-2159875706.62
2014,ARG,BRA,7220564245.45,8782731760.210001,16003296005.66,1562167514.7600012
2014,ARG,BRN,0.0,5691205.0,5691205.0,5691205.0
2014,ARG,CAN,190445656.22,1335675442.07,1526121098.29,1145229785.85
2014,ARG,CHE,233479993.81,464998128.09000003,698478121.9000001,231518134.28000003
2014,ARG,CHL,126994439.28,901384380.17,1028378819.4499999,774389940.89
2014,ARG,CHN,2909427282.16,483922165.03999996,3393349447.2,-2425505117.12
2014,ARG,CIV,0.0,7945734.49,7945734.49,7945734.49
2014,ARG,COL,134357658.65,502980578.51,637338237.16,368622919.86
2014,ARG,CRI,7509201.930000001,12612555.58,20121757.51,5103353.649999999
2014,ARG,CUB,11017463.49,158691418.94,169708882.43,147673955.45
2014,ARG,CUW,6966632.67,1152007.3900000001,8118640.0600000005,-5814625.279999999
2014,ARG,CZE,56483970.79,41410863.480000004,97894834.27000001,-15073107.309999995
2014,ARG,DEU,1259721417.93,281013223.33,1540734641.26,-978708194.6000001
2014,ARG,DNK,85775364.85000001,254337506.53,340112871.38,168562141.68
2014,ARG,DOM,901762.22,81489676.11,82391438.33,80587913.89
2014,ARG,ECU,2548018.9099999997,276300189.42,278848208.33000004,273752170.51
2014,ARG,EGY,411154.93,863354584.3199999,863765739.2499999,862943429.39
2014,ARG,ESP,324767449.57,500951439.41,825718888.98,176183989.84000003
2014,ARG,FIN,33956098.54,786142.95,34742241.49,-33169955.59
2014,ARG,FRA,711563227.79,105197105.02999999,816760332.8199999,-606366122.76
2014,ARG,GBR,191649098.42000002,350592152.48,542241250.9000001,158943054.06
2014,ARG,GTM,12518.41,33097143.21,33109661.62,33084624.8
2014,ARG,HKG,17923646.99,6857247.36,24780894.349999998,-11066399.629999999
2014,ARG,HND,12206776.84,26728996.61,38935773.45,14522219.77
2014,ARG,HTI,0.0,534788.3200000001,534788.3200000001,534788.3200000001
2014,ARG,IDN,34030786.81,1133692149.3500001,1167722936.16,1099661362.5400002
2014,ARG,IND,112427267.22,1610249157.3,1722676424.52,1497821890.08
2014,ARG,IRL,176249437.99,174485390.18,350734828.17,-1764047.8100000024
2014,ARG,IRQ,20676.11,34968150.44,34988826.55,34947474.33
2014,ARG,ISR,68367478.52,21182180.869999997,89549659.38999999,-47185297.65
2014,ARG,ITA,357675232.89,577963549.0899999,935638781.9799999,220288316.19999993
2014,ARG,JAM,0.0,1210218.46,1210218.46,1210218.46
2014,ARG,JPN,517446790.36,60213562.839999996,577660353.2,-457233227.52000004
2014,ARG,KOR,366548270.56,324680854.34,691229124.9,-41867416.22000003
2014,ARG,LUX,1030519.3,1468.2,1031987.5,-1029051.1000000001
2014,ARG,MAR,28378822.889999997,460836667.2,489215490.09,432457844.31
2014,ARG,MEX,821590829.23,407374330.59,1228965159.82,-414216498.64000005
2014,ARG,MYS,95199360.83,885360427.45,980559788.2800001,790161066.62
2014,ARG,NIC,3318.89,23718888.7,23722207.59,23715569.81
2014,ARG,NLD,622165312.92,650731940.89,1272897253.81,28566627.97000003
2014,ARG,NOR,146423847.84,1188699.2,147612547.04,-145235148.64000002
2014,ARG,PAN,4037.54,44792078.5,44796116.04,44788040.96
2014,ARG,PER,22988704.41,515599064.57,538587768.98,492610360.15999997
2014,ARG,POL,90647963.27,677186254.4000001,767834217.6700001,586538291.1300001
2014,ARG,PRT,19751873.599999998,7291749.04,27043622.639999997,-12460124.559999999
2014,ARG,RUS,1282871918.28,18403208.86,1301275127.1399999,-1264468709.42
2014,ARG,SAU,41752889.239999995,472908532.90999997,514661422.15,431155643.66999996
2014,ARG,SGP,115648926.33999999,79377031.08999999,195025957.42999998,-36271895.25
2014,ARG,SLV,54264.719999999994,8857754.9,8912019.620000001,8803490.18
2014,ARG,SVN,2160280.0,110804.4,2271084.4,-2049475.6
2014,ARG,SWE,143405200.98000002,3125342.57,146530543.55,-140279858.41000003
2014,ARG,TTO,1822722685.17,7342657.419999999,1830065342.5900002,-1815380027.75
2014,ARG,TUR,122871015.05,232349583.73999998,355220598.78999996,109478568.68999998
2014,ARG,URY,115985095.83000001,463029915.39000005,579015011.22,347044819.56000006
2014,ARG,USA,5036598231.31,1823129481.73,6859727713.040001,-3213468749.5800004
2014,ARG,VEN,2897020.78,985639711.37,988536732.15,982742690.59
2014,ARG,ZAF,111696563.61,346280126.21000004,457976689.82000005,234583562.60000002
2014,AUS,ARE,2267445264.0,464776957.0,2732222221.0,-1802668307.0
2014,AUS,ARG,517027832.0,79302026.0,596329858.0,-437725806.0
2014,AUS,AUS,457220648.0,0.0,457220648.0,-457220648.0
2014,AUS,BEL,885392109.0,45864356.0,931256465.0,-839527753.0
2014,AUS,BOL,421542.0,225845.0,647387.0,-195697.0
2014,AUS,BRA,210873414.0,729883691.0,940757105.0,519010277.0
2014,AUS,BRN,915584591.0,2228826.0,917813417.0,-913355765.0
2014,AUS,CAN,448696163.0,117983644.0,566679807.0,-330712519.0
2014,AUS,CHE,1535709739.0,157016565.0,1692726304.0,-1378693174.0
2014,AUS,CHL,5312578.0,104412854.0,109725432.0,99100276.0
2014,AUS,CHN,13335164808.0,14910032375.0,28245197183.0,1574867567.0
2014,AUS,CIV,6176698.0,815679.0,6992377.0,-5361019.0
2014,AUS,COL,48619710.0,3469928.0,52089638.0,-45149782.0
2014,AUS,CRI,65048097.0,212595.0,65260692.0,-64835502.0
2014,AUS,CUB,1471051.0,65146.0,1536197.0,-1405905.0
2014,AUS,CUW,66904.0,69612.0,136516.0,2708.0
2014,AUS,CZE,315257938.0,5108628.0,320366566.0,-310149310.0
2014,AUS,DEU,5274382371.0,267141906.0,5541524277.0,-5007240465.0
2014,AUS,DNK,401249798.0,30627756.0,431877554.0,-370622042.0
2014,AUS,DOM,18083654.0,224962.0,18308616.0,-17858692.0
2014,AUS,ECU,3411875.0,852324.0,4264199.0,-2559551.0
2014,AUS,EGY,9501355.0,94399342.0,103900697.0,84897987.0
2014,AUS,ESP,1048476055.0,155252493.0,1203728548.0,-893223562.0
2014,AUS,FIN,165359096.0,6068510.0,171427606.0,-159290586.0
2014,AUS,FRA,1283875984.0,440723507.0,1724599491.0,-843152477.0
2014,AUS,GBR,2259075248.0,1475067059.0,3734142307.0,-784008189.0
2014,AUS,GTM,8104017.0,191904.0,8295921.0,-7912113.0
2014,AUS,HKG,133044733.0,633667811.0,766712544.0,500623078.0
2014,AUS,HND,11058185.0,6508.0,11064693.0,-11051677.0
2014,AUS,HTI,0.0,115313.0,115313.0,115313.0
2014,AUS,IDN,2676392037.0,1613779440.0,4290171477.0,-1062612597.0
2014,AUS,IND,881321246.0,5481886656.0,6363207902.0,4600565410.0
2014,AUS,IRL,1001253610.0,19069000.0,1020322610.0,-982184610.0
2014,AUS,IRQ,27200.0,242969477.0,242996677.0,242942277.0
2014,AUS,ISR,201758235.0,23424695.0,225182930.0,-178333540.0
2014,AUS,ITA,1276038398.0,143708487.0,1419746885.0,-1132329911.0
2014,AUS,JAM,543899.0,242648.0,786547.0,-301251.0
2014,AUS,JPN,10760754942.0,12105645612.0,22866400554.0,1344890670.0
2014,AUS,KOR,7460138223.0,6063680236.0,13523818459.0,-1396457987.0
2014,AUS,LUX,6664289.0,31990.0,6696279.0,-6632299.0
2014,AUS,MAR,46382625.0,270804.0,46653429.0,-46111821.0
2014,AUS,MEX,840972905.0,298928136.0,1139901041.0,-542044769.0
2014,AUS,MYS,6826100341.0,1066062468.0,7892162809.0,-5760037873.0
2014,AUS,NIC,6853714.0,5995.0,6859709.0,-6847719.0
2014,AUS,NLD,464983911.0,988149315.0,1453133226.0,523165404.0
2014,AUS,NOR,86901623.0,11668921.0,98570544.0,-75232702.0
2014,AUS,PAN,5399409.0,29814629.0,35214038.0,24415220.0
2014,AUS,PER,13657787.0,9406261.0,23064048.0,-4251526.0
2014,AUS,POL,197500997.0,167955235.0,365456232.0,-29545762.0
2014,AUS,PRT,17745681.0,756438.0,18502119.0,-16989243.0
2014,AUS,RUS,1127413644.0,10906561.0,1138320205.0,-1116507083.0
2014,AUS,SAU,197849458.0,810704405.0,1008553863.0,612854947.0
2014,AUS,SGP,8943606135.0,5610443358.0,14554049493.0,-3333162777.0
2014,AUS,SLV,1770216.0,110616.0,1880832.0,-1659600.0
2014,AUS,SVN,24848730.0,8964588.0,33813318.0,-15884142.0
2014,AUS,SWE,679037620.0,137909659.0,816947279.0,-541127961.0
2014,AUS,TTO,86933.0,323846.0,410779.0,236913.0
2014,AUS,TUR,122748070.0,374232685.0,496980755.0,251484615.0
2014,AUS,URY,19952043.0,348218.0,20300261.0,-19603825.0
2014,AUS,USA,9671598245.0,1448248604.0,11119846849.0,-8223349641.0
2014,AUS,VEN,101556.0,1695524.0,1797080.0,1593968.0
2014,AUS,ZAF,392871974.0,189614060.0,582486034.0,-203257914.0
2014,BEL,ABW,276.398,556147.0800000001,556423.4780000001,555870.682
2014,BEL,ARE,46849537.703,460894537.165,507744074.86800003,414044999.462
2014,BEL,ARG,67410998.27600001,162951929.629,230362927.90500003,95540931.353
2014,BEL,AUS,224093421.324,685057606.7199999,909151028.0439999,460964185.3959999
2014,BEL,BES,13070.926,95350.878,108421.804,82279.95199999999
2014,BEL,BHS,9457.315,280709.182,290166.497,271251.86699999997
2014,BEL,BOL,1076132.6970000002,6666365.631,7742498.328,5590232.934
2014,BEL,BRA,369287109.334,1384625028.635,1753912137.9689999,1015337919.301
2014,BEL,BRN,0.0,4858327.742000001,4858327.742000001,4858327.742000001
2014,BEL,CAN,980306289.079,654306669.995,1634612959.074,-325999619.084
2014,BEL,CHE,1920568626.56,1997561784.188,3918130410.748,76993157.62800002
2014,BEL,CHL,52190435.684,115711141.17300001,167901576.857,63520705.48900001
2014,BEL,CHN,1006147557.192,2404156995.636,3410304552.828,1398009438.4440002
2014,BEL,CIV,1555740.2410000002,96628907.571,98184647.81199999,95073167.33
2014,BEL,COL,32733263.965,153777991.056,186511255.021,121044727.09099999
2014,BEL,CRI,173637614.14499998,8414211.238,182051825.383,-165223402.90699998
2014,BEL,CUB,34680329.474,14709992.513,49390321.987,-19970336.961
2014,BEL,CUW,739633.846,13974297.741000002,14713931.587000003,13234663.895000001
2014,BEL,CZE,1774398961.2649999,1027504380.149,2801903341.414,-746894581.1159998
2014,BEL,DEU,16789067783.558,19810190442.611,36599258226.169,3021122659.0529995
2014,BEL,DNK,601881929.664,752884884.196,1354766813.8600001,151002954.53199995
2014,BEL,DOM,1433271.55,14913143.075000001,16346414.625000002,13479871.525
2014,BEL,ECU,298077.13,72169227.434,72467304.564,71871150.304
2014,BEL,EGY,33981876.848,206024704.864,240006581.71199998,172042828.016
2014,BEL,ESP,2714820566.435,2896220516.839,5611041083.274,181399950.40400028
2014,BEL,FIN,707799477.7969999,745667314.638,1453466792.435,37867836.84100008
2014,BEL,FRA,13767052154.723999,20551585528.711998,34318637683.435997,6784533373.987999
2014,BEL,GBR,8450632292.792,11237060577.844,19687692870.636,2786428285.052
2014,BEL,GTM,7201302.881999999,15064547.97,22265850.851999998,7863245.088000001
2014,BEL,HKG,16224385.344,144342055.892,160566441.236,128117670.548
2014,BEL,HND,16810571.541,3291885.804,20102457.345000003,-13518685.737000002
2014,BEL,HTI,9204.105,2520387.781,2529591.886,2511183.676
2014,BEL,IDN,30572804.554,92609036.361,123181840.915,62036231.807
2014,BEL,IND,242530932.93899998,366427489.251,608958422.1899999,123896556.312
2014,BEL,IRL,1297279862.632,533851478.602,1831131341.234,-763428384.03
2014,BEL,IRQ,1287589.594,51091532.499,52379122.092999995,49803942.905
2014,BEL,ISR,118948379.75,498981533.821,617929913.571,380033154.071
2014,BEL,ITA,4385831328.613,3607134035.315,7992965363.9279995,-778697293.2979999
2014,BEL,JAM,3174048.1010000003,13662321.045,16836369.146,10488272.944
2014,BEL,JPN,4956091058.779,1193911115.9720001,6150002174.751,-3762179942.807
2014,BEL,KOR,1415305069.637,574433644.447,1989738714.084,-840871425.19
2014,BEL,LCA,0.0,290321.625,290321.625,290321.625
2014,BEL,LUX,1380455463.375,3665627824.633,5046083288.007999,2285172361.258
2014,BEL,MAR,184759063.64200002,328718702.594,513477766.236,143959638.95199996
2014,BEL,MEX,538493506.793,275121678.389,813615185.1819999,-263371828.40399998
2014,BEL,MYS,304818832.58599997,101213077.71499999,406031910.30099994,-203605754.871
2014,BEL,NIC,7810447.316000001,3014255.931,10824703.247000001,-4796191.385000001
2014,BEL,NLD,46831671184.409004,13381312256.998,60212983441.407005,-33450358927.411003
2014,BEL,NOR,5170281424.287,668373684.2559999,5838655108.542999,-4501907740.031
2014,BEL,PAN,2361670.489,31571835.018999998,33933505.508,29210164.529999997
2014,BEL,PER,12946395.19,98801544.117,111747939.307,85855148.927
2014,BEL,POL,1445066485.976,2530324487.83,3975390973.8059998,1085258001.8539999
2014,BEL,PRT,520855807.07699996,527006483.82,1047862290.897,6150676.7430000305
2014,BEL,RUS,4729331797.997,1058016932.0170001,5787348730.014,-3671314865.9799995
2014,BEL,SAU,563642420.1800001,509880874.477,1073523294.6570001,-53761545.70300007
2014,BEL,SGP,402783396.42700005,378982571.128,781765967.5550001,-23800825.299000025
2014,BEL,SLV,3655819.39,8070522.211999999,11726341.602,4414702.821999999
2014,BEL,SVN,97671927.76699999,200580099.891,298252027.658,102908172.12400001
2014,BEL,SWE,2387153446.7730002,2220610057.368,4607763504.141001,-166543389.4050002
2014,BEL,TTO,24387947.042,18083877.993,42471825.035,-6304069.048999999
2014,BEL,TUR,1235468502.404,1118850424.577,2354318926.981,-116618077.82700014
2014,BEL,URY,267692.107,12109665.19,12377357.297,11841973.082999999
2014,BEL,USA,5975757902.284,6654742595.3880005,12630500497.672,678984693.1040001
2014,BEL,VEN,360106498.84299994,53355635.434,413462134.27699995,-306750863.4089999
2014,BEL,ZAF,476418562.901,401725401.254,878143964.155,-74693161.64700001
2014,BHS,BEL,879980.0,6654.0,886634.0,-873326.0
2014,BHS,BRA,836549.0,0.0,836549.0,-836549.0
2014,BHS,CAN,2949387.0,16500.0,2965887.0,-2932887.0
2014,BHS,CHE,430654.0,20000.0,450654.0,-410654.0
2014,BHS,CHL,10494.0,0.0,10494.0,-10494.0
2014,BHS,CHN,2538712.0,0.0,2538712.0,-2538712.0
2014,BHS,COL,312973.0,31114.0,344087.0,-281859.0
2014,BHS,CRI,1502730.0,0.0,1502730.0,-1502730.0
2014,BHS,CUB,202.0,0.0,202.0,-202.0
2014,BHS,CUW,316535.0,0.0,316535.0,-316535.0
2014,BHS,DEU,2929020.0,3468.0,2932488.0,-2925552.0
2014,BHS,DNK,334694.0,0.0,334694.0,-334694.0
2014,BHS,DOM,1276711.0,17.0,1276728.0,-1276694.0
2014,BHS,ECU,257.0,0.0,257.0,-257.0
2014,BHS,ESP,233684.0,13313.0,246997.0,-220371.0
2014,BHS,FIN,123574.0,6410.0,129984.0,-117164.0
2014,BHS,FRA,27799.0,4300.0,32099.0,-23499.0
2014,BHS,GBR,3226784.0,30339.0,3257123.0,-3196445.0
2014,BHS,GTM,134126.0,0.0,134126.0,-134126.0
2014,BHS,HKG,124259.0,0.0,124259.0,-124259.0
2014,BHS,HND,17748.0,0.0,17748.0,-17748.0
2014,BHS,HTI,0.0,16620.0,16620.0,16620.0
2014,BHS,IDN,1166.0,0.0,1166.0,-1166.0
2014,BHS,IND,1126757.0,0.0,1126757.0,-1126757.0
2014,BHS,IRL,164507.0,0.0,164507.0,-164507.0
2014,BHS,ISR,7462.0,0.0,7462.0,-7462.0
2014,BHS,ITA,70251.0,45100.0,115351.0,-25151.0
2014,BHS,JAM,796576.0,23526.0,820102.0,-773050.0
2014,BHS,JPN,25862084.0,0.0,25862084.0,-25862084.0
2014,BHS,KOR,12030679.0,0.0,12030679.0,-12030679.0
2014,BHS,LCA,0.0,785.0,785.0,785.0
2014,BHS,LUX,196920.0,0.0,196920.0,-196920.0
2014,BHS,MAR,44831.0,0.0,44831.0,-44831.0
2014,BHS,MEX,3635725.0,0.0,3635725.0,-3635725.0
2014,BHS,NLD,3831549.0,0.0,3831549.0,-3831549.0
2014,BHS,NOR,77.0,0.0,77.0,-77.0
2014,BHS,PAN,5877791.0,87.0,5877878.0,-5877704.0
2014,BHS,PER,19317.0,0.0,19317.0,-19317.0
2014,BHS,POL,246016.0,0.0,246016.0,-246016.0
2014,BHS,SGP,1203306.0,0.0,1203306.0,-1203306.0
2014,BHS,SVN,74.0,0.0,74.0,-74.0
2014,BHS,SWE,152486.0,0.0,152486.0,-152486.0
2014,BHS,TTO,54961878.0,20000.0,54981878.0,-54941878.0
2014,BHS,TUR,196723.0,0.0,196723.0,-196723.0
2014,BHS,URY,20184.0,0.0,20184.0,-20184.0
2014,BHS,USA,1057438192.0,184310456.0,1241748648.0,-873127736.0
2014,BHS,VEN,9123.0,0.0,9123.0,-9123.0
2014,BHS,ZAF,510.0,0.0,510.0,-510.0
2014,BOL,ARE,30315.239999999998,45104.04,75419.28,14788.800000000003
2014,BOL,ARG,610068516.18,2486525489.11,3096594005.29,1876456972.9300003
2014,BOL,AUS,537243.59,264735.08,801978.6699999999,-272508.50999999995
2014,BOL,BEL,16590673.84,3680613.68,20271287.52,-12910060.16
2014,BOL,BHS,39.51,0.0,39.51,-39.51
2014,BOL,BRA,436129808.09000003,3779015147.56,4215144955.65,3342885339.47
2014,BOL,BRN,2558.77,0.0,2558.77,-2558.77
2014,BOL,CAN,64610635.2,518445.25,65129080.45,-64092189.95
2014,BOL,CHE,38219684.18,26786413.29,65006097.47,-11433270.89
2014,BOL,CHL,293746210.70000005,37000857.4,330747068.1,-256745353.30000004
2014,BOL,CHN,616460111.84,670502.8400000001,617130614.6800001,-615789609.0
2014,BOL,COL,36069593.24,548587695.4599999,584657288.6999999,512518102.2199999
2014,BOL,CRI,856896.23,12720.0,869616.23,-844176.23
2014,BOL,CUB,1462108.5,198657.68,1660766.18,-1263450.82
2014,BOL,CUW,10540.65,0.0,10540.65,-10540.65
2014,BOL,CZE,1542321.15,0.0,1542321.15,-1542321.15
2014,BOL,DEU,59719206.57,4573549.54,64292756.11,-55145657.03
2014,BOL,DNK,2633405.52,0.0,2633405.52,-2633405.52
2014,BOL,DOM,1326488.66,2231.54,1328720.2,-1324257.1199999999
2014,BOL,ECU,6665873.13,80855699.49000001,87521572.62,74189826.36000001
2014,BOL,EGY,14530.31,180.0,14710.31,-14350.31
2014,BOL,ESP,28728823.580000002,11903722.43,40632546.010000005,-16825101.150000002
2014,BOL,FIN,2172782.46,0.0,2172782.46,-2172782.46
2014,BOL,FRA,139317102.35999998,2391126.8899999997,141708229.24999997,-136925975.47
2014,BOL,GBR,32894993.130000003,32337818.04,65232811.17,-557175.0900000036
2014,BOL,GTM,623990.66,78940.95,702931.61,-545049.7100000001
2014,BOL,HKG,2025264.42,82022623.84,84047888.26,79997359.42
2014,BOL,HND,1023.28,0.0,1023.28,-1023.28
2014,BOL,IDN,18955606.99,0.0,18955606.99,-18955606.99
2014,BOL,IND,68781677.87,0.0,68781677.87,-68781677.87
2014,BOL,IRL,2327237.92,6377.0,2333614.92,-2320860.92
2014,BOL,ISR,4536519.58,127008.0,4663527.58,-4409511.58
2014,BOL,ITA,33744701.82,61740.149999999994,33806441.97,-33682961.67
2014,BOL,JPN,372264486.48,1417199.25,373681685.73,-370847287.23
2014,BOL,KOR,66954157.45,52755424.309999995,119709581.75999999,-14198733.140000008
2014,BOL,LUX,45373.99,0.0,45373.99,-45373.99
2014,BOL,MAR,3803.01,0.0,3803.01,-3803.01
2014,BOL,MEX,131197831.51,82409.82,131280241.33,-131115421.69000001
2014,BOL,MYS,7959354.069999999,32174672.64,40134026.71,24215318.57
2014,BOL,NIC,1811.07,0.0,1811.07,-1811.07
2014,BOL,NLD,68571436.33,31712813.0,100284249.33,-36858623.33
2014,BOL,NOR,515618.38,0.0,515618.38,-515618.38
2014,BOL,PAN,2516244.3200000003,27593115.35,30109359.67,25076871.03
2014,BOL,PER,153834138.96,244139399.21,397973538.17,90305260.25
2014,BOL,POL,5481849.52,0.0,5481849.52,-5481849.52
2014,BOL,PRT,4866472.850000001,590512.15,5456985.000000001,-4275960.7
2014,BOL,RUS,27104821.759999998,0.0,27104821.759999998,-27104821.759999998
2014,BOL,SAU,377841.38999999996,0.0,377841.38999999996,-377841.38999999996
2014,BOL,SGP,114536101.62,100426044.67,214962146.29000002,-14110056.950000003
2014,BOL,SLV,402395.55,0.0,402395.55,-402395.55
2014,BOL,SVN,93549.15,0.0,93549.15,-93549.15
2014,BOL,SWE,74450747.74,115089.91,74565837.64999999,-74335657.83
2014,BOL,TTO,0.0,464971.67,464971.67,464971.67
2014,BOL,TUR,4197898.72,0.0,4197898.72,-4197898.72
2014,BOL,URY,32709270.860000003,526095.12,33235365.980000004,-32183175.740000002
2014,BOL,USA,627770973.63,1367180062.2300003,1994951035.8600001,739409088.6000003
2014,BOL,VEN,1637135.06,72100036.08,73737171.14,70462901.02
2014,BOL,ZAF,9046262.540000001,0.0,9046262.540000001,-9046262.540000001
2014,BRA,ABW,18.0,267611119.0,267611137.0,267611101.0
2014,BRA,ARE,418455109.0,463522052.0,881977161.0,45066943.0
