partnerCode,partnerISO,partnerDesc,cifvalue,part_cifvalue,part_acum
842,USA,USA,66015517373.770004,0.2575890129634921,0.2575890129634921
156,CHN,China,61982523889.35,0.2418524883967285,0.4994415013602206
76,BRA,Brazil,16350370239.47,0.06379826893920795,0.5632397702994285
484,MEX,Mexico,14308339092.07,0.055830372774412135,0.6190701430738407
276,DEU,Germany,8923996382.01,0.03482095590824051,0.6538910989820812
251,FRA,France,7201031921.05,0.028098040864538928,0.6819891398466201
392,JPN,Japan,5485388861.849999,0.021403693538366384,0.7033928333849865
699,IND,India,5364911991.86,0.020933599244475635,0.7243264326294622
32,ARG,Argentina,5293825001.47,0.020656221615433817,0.744982654244896
